period,region_final_dep,region_final_arr,Num_month,Num,Num_per_month
Period 1,Africa,Europe,24,51317442,2138226.8
Period 1,Africa,Japan/Korea,24,617144,25714.3
Period 1,Africa,North China,24,778135,32422.3
Period 1,Africa,Northern America,24,5235747,218156.1
Period 1,Africa,Oceania,24,753478,31394.9
Period 1,Africa,Russia,24,697681,29070
Period 1,Africa,South America,24,621074,25878.1
Period 1,Africa,South China,24,2205548,91897.8
Period 1,Africa,South-eastern Asia,24,1687357,70306.5
Period 1,Africa,Southern Asia,24,2509231,104551.3
Period 1,Africa,Western Asia,24,25282418,1053434.1
Period 1,Europe,Africa,24,51126154,2130256.4
Period 1,Europe,Japan/Korea,24,10773121,448880
Period 1,Europe,North China,24,4344321,181013.4
Period 1,Europe,Northern America,24,63424292,2642678.8
Period 1,Europe,Oceania,24,5844279,243511.6
Period 1,Europe,Russia,24,24056315,1002346.5
Period 1,Europe,South America,24,14839329,618305.4
Period 1,Europe,South China,24,12743054,530960.6
Period 1,Europe,South-eastern Asia,24,19730070,822086.2
Period 1,Europe,Southern Asia,24,16331775,680490.6
Period 1,Europe,Western Asia,24,71865242,2994385.1
Period 1,Japan/Korea,Africa,24,669712,27904.7
Period 1,Japan/Korea,Europe,24,10891801,453825
Period 1,Japan/Korea,North China,24,14886859,620285.8
Period 1,Japan/Korea,Northern America,24,12517295,521554
Period 1,Japan/Korea,Oceania,24,3363640,140151.7
Period 1,Japan/Korea,Russia,24,1558152,64923
Period 1,Japan/Korea,South America,24,448494,18687.2
Period 1,Japan/Korea,South China,24,44770469,1865436.2
Period 1,Japan/Korea,South-eastern Asia,24,38476842,1603201.8
Period 1,Japan/Korea,Southern Asia,24,2089514,87063.1
Period 1,Japan/Korea,Western Asia,24,1406290,58595.4
Period 1,North China,Africa,24,804854,33535.6
Period 1,North China,Europe,24,4449433,185393
Period 1,North China,Japan/Korea,24,14841957,618414.9
Period 1,North China,Northern America,24,3852331,160513.8
Period 1,North China,Oceania,24,1575592,65649.7
Period 1,North China,Russia,24,1386366,57765.2
Period 1,North China,South America,24,138217,5759
Period 1,North China,South China,24,224604603,9358525.1
Period 1,North China,South-eastern Asia,24,11475094,478128.9
Period 1,North China,Southern Asia,24,1039859,43327.5
Period 1,North China,Western Asia,24,1204905,50204.4
Period 1,Northern America,Africa,24,5152251,214677.1
Period 1,Northern America,Europe,24,63635778,2651490.8
Period 1,Northern America,Japan/Korea,24,12627957,526164.9
Period 1,Northern America,North China,24,3945071,164378
Period 1,Northern America,Oceania,24,5165695,215237.3
Period 1,Northern America,Russia,24,991232,41301.3
Period 1,Northern America,South America,24,17628037,734501.5
Period 1,Northern America,South China,24,10828565,451190.2
Period 1,Northern America,South-eastern Asia,24,8886067,370252.8
Period 1,Northern America,Southern Asia,24,8356447,348185.3
Period 1,Northern America,Western Asia,24,7651931,318830.5
Period 1,Oceania,Africa,24,743863,30994.3
Period 1,Oceania,Europe,24,6089441,253726.7
Period 1,Oceania,Japan/Korea,24,3494956,145623.2
Period 1,Oceania,North China,24,1667753,69489.7
Period 1,Oceania,Northern America,24,5260584,219191
Period 1,Oceania,Russia,24,77619,3234.1
Period 1,Oceania,South America,24,448021,18667.5
Period 1,Oceania,South China,24,5482861,228452.5
Period 1,Oceania,South-eastern Asia,24,11630929,484622
Period 1,Oceania,Southern Asia,24,2786154,116089.8
Period 1,Oceania,Western Asia,24,1090352,45431.3
Period 1,Russia,Africa,24,720876,30036.5
Period 1,Russia,Europe,24,23878167,994923.6
Period 1,Russia,Japan/Korea,24,1550701,64612.5
Period 1,Russia,North China,24,1393625,58067.7
Period 1,Russia,Northern America,24,998437,41601.5
Period 1,Russia,Oceania,24,88759,3698.3
Period 1,Russia,South America,24,156467,6519.5
Period 1,Russia,South China,24,1567621,65317.5
Period 1,Russia,South-eastern Asia,24,2198465,91602.7
Period 1,Russia,Southern Asia,24,892540,37189.2
Period 1,Russia,Western Asia,24,11287803,470325.1
Period 1,South America,Africa,24,619092,25795.5
Period 1,South America,Europe,24,14830843,617951.8
Period 1,South America,Japan/Korea,24,447294,18637.2
Period 1,South America,North China,24,143432,5976.3
Period 1,South America,Northern America,24,17419712,725821.3
Period 1,South America,Oceania,24,455121,18963.4
Period 1,South America,Russia,24,146381,6099.2
Period 1,South America,South China,24,474141,19755.9
Period 1,South America,South-eastern Asia,24,224677,9361.5
Period 1,South America,Southern Asia,24,134027,5584.5
Period 1,South America,Western Asia,24,733336,30555.7
Period 1,South China,Africa,24,2200135,91672.3
Period 1,South China,Europe,24,12765101,531879.2
Period 1,South China,Japan/Korea,24,44125684,1838570.2
Period 1,South China,North China,24,223779406,9324141.9
Period 1,South China,Northern America,24,10703852,445993.8
Period 1,South China,Oceania,24,5579873,232494.7
Period 1,South China,Russia,24,1566224,65259.3
Period 1,South China,South America,24,506641,21110
Period 1,South China,South-eastern Asia,24,61029214,2542883.9
Period 1,South China,Southern Asia,24,3769724,157071.8
Period 1,South China,Western Asia,24,2731671,113819.6
Period 1,South-eastern Asia,Africa,24,1595719,66488.3
Period 1,South-eastern Asia,Europe,24,19182478,799269.9
Period 1,South-eastern Asia,Japan/Korea,24,38362348,1598431.2
Period 1,South-eastern Asia,North China,24,11430101,476254.2
Period 1,South-eastern Asia,Northern America,24,9266455,386102.3
Period 1,South-eastern Asia,Oceania,24,11735250,488968.8
Period 1,South-eastern Asia,Russia,24,2167986,90332.8
Period 1,South-eastern Asia,South America,24,223802,9325.1
Period 1,South-eastern Asia,South China,24,60845177,2535215.7
Period 1,South-eastern Asia,Southern Asia,24,14973053,623877.2
Period 1,South-eastern Asia,Western Asia,24,11451529,477147
Period 1,Southern Asia,Africa,24,2638492,109937.2
Period 1,Southern Asia,Europe,24,17163533,715147.2
Period 1,Southern Asia,Japan/Korea,24,2043179,85132.5
Period 1,Southern Asia,North China,24,1002723,41780.1
Period 1,Southern Asia,Northern America,24,8689272,362053
Period 1,Southern Asia,Oceania,24,3010232,125426.3
Period 1,Southern Asia,Russia,24,896831,37368
Period 1,Southern Asia,South America,24,146490,6103.8
Period 1,Southern Asia,South China,24,3749059,156210.8
Period 1,Southern Asia,South-eastern Asia,24,14934100,622254.2
Period 1,Southern Asia,Western Asia,24,48083735,2003489
Period 1,Western Asia,Africa,24,25403574,1058482.2
Period 1,Western Asia,Europe,24,71978882,2999120.1
Period 1,Western Asia,Japan/Korea,24,1396603,58191.8
Period 1,Western Asia,North China,24,1256982,52374.2
Period 1,Western Asia,Northern America,24,7625106,317712.8
Period 1,Western Asia,Oceania,24,1179392,49141.3
Period 1,Western Asia,Russia,24,11157845,464910.2
Period 1,Western Asia,South America,24,795353,33139.7
Period 1,Western Asia,South China,24,2749097,114545.7
Period 1,Western Asia,South-eastern Asia,24,11188672,466194.7
Period 1,Western Asia,Southern Asia,24,48405996,2016916.5
Period 2,Africa,Europe,18,10687847,593769.3
Period 2,Africa,Japan/Korea,18,112435,6246.4
Period 2,Africa,North China,18,37218,2067.7
Period 2,Africa,Northern America,18,1249420,69412.2
Period 2,Africa,Oceania,18,79311,4406.2
Period 2,Africa,Russia,18,248608,13811.6
Period 2,Africa,South America,18,118457,6580.9
Period 2,Africa,South China,18,176918,9828.8
Period 2,Africa,South-eastern Asia,18,290971,16165.1
Period 2,Africa,Southern Asia,18,518214,28789.7
Period 2,Africa,Western Asia,18,6627774,368209.7
Period 2,Europe,Africa,18,10652364,591798
Period 2,Europe,Japan/Korea,18,1183804,65766.9
Period 2,Europe,North China,18,234760,13042.2
Period 2,Europe,Northern America,18,7485915,415884.2
