Summary Statistic	joint	prior	likelihood	geography.clock.rate	H.nonZeroRates	H.indicators1	H.indicators2	H.indicators3	H.indicators4	H.indicators5	H.indicators6	H.indicators7	H.indicators8	H.indicators9	H.indicators10	H.indicators11	H.indicators12	H.indicators13	H.indicators14	H.indicators15	H.indicators16	H.indicators17	H.indicators18	H.indicators19	H.indicators20	H.indicators21	H.indicators22	H.indicators23	H.indicators24	geography.coefficients.Pop_size_origin	geography.coefficients.Pop_size_destination	geography.coefficients.pop_density_origin	geography.coefficients.pop_density_destination	geography.coefficients.Age_prop_origin	geography.coefficients.Age_prop_destination	geography.coefficients.dis_mat	geography.coefficients.wgt_lati_origin	geography.coefficients.wgt_lati_destination	geography.coefficients.Temperature_origin	geography.coefficients.Temperature_destination	geography.coefficients.Precipitation_origin	geography.coefficients.Precipitation_destination	geography.coefficients.Relative_humidity_origin	geography.coefficients.Relative_humidity_destination	geography.coefficients.Air_flow	geography.coefficients.Within_connectivity_origin	geography.coefficients.Within_connectivity_destination	geography.coefficients.stringency_index_origin	geography.coefficients.stringency_index_destination	geography.coefficients.idvi_origin	geography.coefficients.idvi_destination	geography.coefficients.sample_n_origin	geography.coefficients.sample_n_destination	geography.coefficientsTimesIndicators1	geography.coefficientsTimesIndicators2	geography.coefficientsTimesIndicators3	geography.coefficientsTimesIndicators4	geography.coefficientsTimesIndicators5	geography.coefficientsTimesIndicators6	geography.coefficientsTimesIndicators7	geography.coefficientsTimesIndicators8	geography.coefficientsTimesIndicators9	geography.coefficientsTimesIndicators10	geography.coefficientsTimesIndicators11	geography.coefficientsTimesIndicators12	geography.coefficientsTimesIndicators13	geography.coefficientsTimesIndicators14	geography.coefficientsTimesIndicators15	geography.coefficientsTimesIndicators16	geography.coefficientsTimesIndicators17	geography.coefficientsTimesIndicators18	geography.coefficientsTimesIndicators19	geography.coefficientsTimesIndicators20	geography.coefficientsTimesIndicators21	geography.coefficientsTimesIndicators22	geography.coefficientsTimesIndicators23	geography.coefficientsTimesIndicators24	geography.branchRates
mean	-3921.8747	-467.949	-3453.9256	0.5786	1.9762	0.0177	0.1826	0.0207	0.021	0.0284	5.666E-3	5.1105E-3	0.0207	0.0383	0.0122	6.6659E-3	0.0762	0.013	0.4121	9.2212E-3	0.9646	0.02	4.8883E-3	0.0223	0.0411	0.0248	0.0122	0.0104	6.3326E-3	0.0556	-0.3286	0.0876	0.0264	0.2032	-0.0356	0.4276	-0.1996	-0.0742	-0.7204	-0.02	-0.0668	0.0984	-0.2108	0.0283	1.2385	0.0463	-0.0764	-0.0273	0.0337	0.0104	0.0339	0.1374	-0.0484	-0.0017	-0.061	3.2216E-3	-0.0031	0.0125	-0	2.1787E-3	-0.0044	-0.0078	-0.0008	-0.0003	-0.0211	1.5601E-3	-0.1345	4.3565E-4	1.1949	3.2039E-3	-0.0003	-0.0027	5.679E-3	8.3133E-3	1.764E-3	6.0988E-4	9.2836E-5	0
stderr of mean	1.0287	1.1059	0.5486	1.9034E-3	0.0335	1.8167E-3	0.0103	3.0638E-3	4.0936E-3	8.572E-3	1.0207E-3	1.0725E-3	2.4195E-3	0.0107	2.0412E-3	1.146E-3	0.0105	1.9585E-3	0.0367	1.4655E-3	2.1464E-3	2.8752E-3	1.0611E-3	2.6142E-3	4.761E-3	8.4007E-3	2.2579E-3	1.375E-3	1.0005E-3	0.0217	6.6128E-3	0.0205	0.0202	0.043	0.0205	0.0117	0.0415	0.019	0.0645	0.022	0.0267	0.0153	0.0157	0.022	7.3719E-3	0.0207	0.0191	0.0195	0.0201	0.0215	0.019	0.028	0.0193	4.1739E-4	3.6956E-3	1.1491E-3	7.8432E-4	5.9465E-3	9.3867E-5	4.2936E-4	7.5251E-4	2.9482E-3	8.8124E-4	1.0883E-4	3.7495E-3	3.2595E-4	0.014	1.817E-4	7.4327E-3	6.4655E-4	1.5018E-4	7.3632E-4	7.9296E-4	4.858E-3	5.5145E-4	2.5179E-4	9.3205E-5	0
stdev	29.3854	24.7686	35.2226	0.0343	0.8741	0.1317	0.3864	0.1423	0.1434	0.1662	0.0751	0.0713	0.1423	0.192	0.1099	0.0814	0.2654	0.1133	0.4922	0.0956	0.1849	0.14	0.0697	0.1478	0.1985	0.1554	0.1099	0.1017	0.0793	1.8493	0.5713	1.8572	1.9127	1.6219	1.9489	0.3931	1.6884	1.783	1.0251	1.9479	1.5383	1.4347	1.1648	1.9099	0.0961	1.8978	1.5223	1.8519	1.9044	1.8968	1.7752	1.5633	1.8292	0.0316	0.1329	0.0529	0.0283	0.0954	6.4822E-3	0.0322	0.0473	0.0443	0.0574	7.1485E-3	0.0882	0.0164	0.1798	0.0102	0.2477	0.0312	0.0111	0.0552	0.0309	0.067	0.0218	0.0204	8.2509E-3	0
variance	863.5041	613.4819	1240.6346	1.1775E-3	0.7641	0.0174	0.1493	0.0202	0.0206	0.0276	5.6346E-3	5.085E-3	0.0202	0.0369	0.0121	6.6222E-3	0.0704	0.0128	0.2423	9.1372E-3	0.0342	0.0196	4.865E-3	0.0218	0.0394	0.0242	0.0121	0.0103	6.2932E-3	3.4199	0.3264	3.4491	3.6583	2.6306	3.7982	0.1545	2.8505	3.179	1.0508	3.7944	2.3664	2.0585	1.3567	3.6475	9.2262E-3	3.6015	2.3175	3.4297	3.6266	3.5979	3.1512	2.4438	3.3458	9.9829E-4	0.0177	2.7948E-3	7.9813E-4	9.1087E-3	4.2019E-5	1.0346E-3	2.236E-3	1.9622E-3	3.2988E-3	5.1101E-5	7.7843E-3	2.7007E-4	0.0323	1.0418E-4	0.0614	9.7423E-4	1.2312E-4	3.0423E-3	9.5606E-4	4.4901E-3	4.7599E-4	4.1591E-4	6.8077E-5	0
median	-3921.4608	-467.0598	-3453.3834	0.577	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0.0914	-0.3455	0.2051	-0.0639	0.4836	-0.0081	0.4359	-0.4247	-0.2276	-0.852	-0.013	-0.2435	0.2179	-0.3313	0.1078	1.237	0.1546	-0.275	-0.1252	0.1147	0.0973	0.1178	0.3869	-0.1922	0	-0	-0	0	0	-0	0	0	0	-0	0	0	0	-0	0	1.2331	0	0	0	0	0	-0	0	0	0
value range	[-4027.1549, -3820.5908]	[-580.2861, -384.4501]	[-3595.9934, -3306.1668]	[0.47, 0.7365]	[0, 6]	[0, 1]	[0, 1]	[0, 1]	[0, 1]	[0, 1]	[0, 1]	[0, 1]	[0, 1]	[0, 1]	[0, 1]	[0, 1]	[0, 1]	[0, 1]	[0, 1]	[0, 1]	[0, 1]	[0, 1]	[0, 1]	[0, 1]	[0, 1]	[0, 1]	[0, 1]	[0, 1]	[0, 1]	[-9.4817, 7.3723]	[-5.5352, 6.0142]	[-8.0225, 7.2548]	[-7.9652, 7.4354]	[-6.5253, 7.3504]	[-6.9329, 7.5778]	[-5.3993, 6.2405]	[-7.7414, 6.9315]	[-8.2085, 7.2245]	[-5.9697, 7.0766]	[-7.1459, 7.2543]	[-7.4822, 7.8388]	[-6.9246, 7.4078]	[-6.5472, 8.1367]	[-7.7241, 7.5517]	[0.8856, 1.6372]	[-7.6123, 8.0937]	[-10.01, 6.9426]	[-6.6886, 6.8385]	[-7.4406, 7.0684]	[-7.0628, 6.8852]	[-6.6176, 6.8082]	[-7.2839, 7.5014]	[-7.4661, 7.5621]	[-0.852, 1.0557]	[-0.6248, 0.0285]	[-0.651, 1.1689]	[-1.355, 0.1207]	[-1.4714, 2.9762]	[-0.2135, 0.1617]	[0, 0.815]	[-1.1123, 1.8193]	[-0.5698, 0.0549]	[-1.5561, 0.7498]	[-0.191, 0.1747]	[-0.851, 0.8267]	[-0.1089, 0.3291]	[-1.2294, 0.7691]	[-0.3311, 0.3152]	[0, 1.6372]	[-0.2029, 0.9393]	[-0.4867, 0.169]	[-0.4675, 4.6166]	[-0.3465, 0.3504]	[-0.1518, 1.0698]	[-0.1874, 0.6801]	[-0.2446, 0.6112]	[-0.3073, 0.2368]	[0, 0]
geometric mean	n/a	n/a	n/a	0.5776	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	1.2348	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
95% HPD interval	[-3977.976, -3863.1064]	[-517.0471, -420.5844]	[-3523.6091, -3386.8003]	[0.516, 0.6484]	[0, 3]	[0, 0]	[0, 1]	[0, 0]	[0, 0]	[0, 0]	[0, 0]	[0, 0]	[0, 0]	[0, 0]	[0, 0]	[0, 0]	[0, 1]	[0, 0]	[0, 1]	[0, 0]	[1, 1]	[0, 0]	[0, 0]	[0, 0]	[0, 0]	[0, 0]	[0, 0]	[0, 0]	[0, 0]	[-3.6989, 3.897]	[-1.1978, 0.5491]	[-3.8196, 3.7038]	[-3.6354, 3.9255]	[-3.4195, 3.5095]	[-4.1582, 3.5947]	[0.171, 0.7338]	[-3.5628, 3.3563]	[-3.6025, 3.786]	[-2.4992, 2.04]	[-3.7334, 3.9348]	[-3.3066, 3.4063]	[-3.3805, 3.2129]	[-2.8055, 2.7814]	[-3.8001, 3.8386]	[1.0542, 1.4294]	[-4.0133, 3.5679]	[-3.24, 3.6136]	[-3.781, 3.6655]	[-3.7553, 3.9552]	[-3.6795, 3.8858]	[-3.8183, 3.6213]	[-3.5598, 3.2389]	[-3.6265, 3.8866]	[-0, 0]	[-0.3706, -0]	[0, -0]	[0, 0]	[-0, -0]	[0, 0]	[0, 0]	[0, -0]	[-0, 0]	[-0, -0]	[-0, 0]	[-0.2775, -0]	[0, 0]	[-0.4375, -0]	[-0, 0]	[0.9939, 1.4697]	[0, 0]	[-0, -0]	[-0, 0]	[0, 0]	[-0, 0]	[0, -0]	[0, 0]	[-0, -0]	n/a
auto-correlation time (ACT)	11031.4512	17945.4974	2184.0514	27697.6973	13210.7072	1711.9753	6447.8599	4175.0576	7337.5913	23935.3718	1664.4155	2036.4901	2603.7492	27820.9447	3106.5771	1785.3559	14092.6984	2691.2032	50110.9542	2115.9099	1213.0072	3796.8314	2083.2106	2817.555	5176.0908	26290.5122	3801.3356	1646.7191	1431.7698	1237.8942	1206.0943	1097.1131	1000	6337.8753	1000	7926.5764	5433.4677	1020.2523	35590.1647	1153.1805	2712.9159	1025.3055	1627.8702	1194.6728	53024.3754	1066.4577	1410.1428	1000	1000	1151.6671	1034.5768	2892.2326	1000	1570.9721	6959.2575	4252.8491	6938.3519	34946.7746	1887.644	1603.9896	2279.7619	39874.4023	2119.1781	2086.4851	16257.5702	3541.3237	54455.3833	2852.6708	8103.0447	3862.6528	1649.061	1604.2271	5920.5412	47314.2045	5751.1678	1372.226	1148.7345	n/a
effective sample size (ESS)	815.9	501.6	4121.2	325	681.3	5257.7	1396	2155.9	1226.7	376.1	5407.9	4419.9	3456.9	323.5	2897.4	5041.6	638.7	3344.6	179.6	4254	7420.4	2370.7	4320.7	3194.6	1739	342.4	2367.9	5466	6286.6	7271.2	7462.9	8204.3	9001	1420.2	9001	1135.5	1656.6	8822.3	252.9	7805.4	3317.8	8778.8	5529.3	7534.3	169.8	8440.1	6383	9001	9001	7815.6	8700.2	3112.1	9001	5729.6	1293.4	2116.5	1297.3	257.6	4768.4	5611.6	3948.2	225.7	4247.4	4314	553.6	2541.7	165.3	3155.3	1110.8	2330.3	5458.3	5610.8	1520.3	190.2	1565.1	6559.4	7835.6	n/a
