Summary Statistic	joint	prior	likelihood	geography.clock.rate	geography.coefficients.Pop_size_origin	geography.coefficients.Pop_size_destination	geography.coefficients.pop_density_origin	geography.coefficients.pop_density_destination	geography.coefficients.Age_prop_origin	geography.coefficients.Age_prop_destination	geography.coefficients.dis_mat	geography.coefficients.wgt_lati_origin	geography.coefficients.wgt_lati_destination	geography.coefficients.Temperature_origin	geography.coefficients.Temperature_destination	geography.coefficients.Precipitation_origin	geography.coefficients.Precipitation_destination	geography.coefficients.Relative_humidity_origin	geography.coefficients.Relative_humidity_destination	geography.coefficients.Air_flow	geography.coefficients.Within_connectivity_origin	geography.coefficients.Within_connectivity_destination	geography.coefficients.stringency_index_origin	geography.coefficients.stringency_index_destination	geography.coefficients.idvi_origin	geography.coefficients.idvi_destination	geography.coefficients.sample_n_origin	geography.coefficients.sample_n_destination	geography.coefficientsTimesIndicators1	geography.coefficientsTimesIndicators2	geography.coefficientsTimesIndicators3	geography.coefficientsTimesIndicators4	geography.coefficientsTimesIndicators5	geography.coefficientsTimesIndicators6	geography.coefficientsTimesIndicators7	geography.coefficientsTimesIndicators8	geography.coefficientsTimesIndicators9	geography.coefficientsTimesIndicators10	geography.coefficientsTimesIndicators11	geography.coefficientsTimesIndicators12	geography.coefficientsTimesIndicators13	geography.coefficientsTimesIndicators14	geography.coefficientsTimesIndicators15	geography.coefficientsTimesIndicators16	geography.coefficientsTimesIndicators17	geography.coefficientsTimesIndicators18	geography.coefficientsTimesIndicators19	geography.coefficientsTimesIndicators20	geography.coefficientsTimesIndicators21	geography.coefficientsTimesIndicators22	geography.coefficientsTimesIndicators23	geography.coefficientsTimesIndicators24	geography.branchRates
mean	-4527.6367	-533.3717	-3994.265	0.5629	8.9065E-3	3.4161E-3	2.7326E-3	-0.1117	4.7049E-3	0.0117	-0.0076	-0.0097	-0.2139	8.9242E-3	0.0113	0.0107	0.051	-0.0097	-0.0059	0.9597	0.3127	-0.0207	0.0161	-0.0365	5.8797E-3	1.5551E-3	0.0574	4.4295E-3	-0.0025	-0.0059	-0.0011	-0.0858	-0.0147	-0.0004	4.4692E-3	3.6712E-3	-0.2111	8.9885E-3	-0.0201	-0.0024	0.0434	9.8284E-4	-0.0021	0.9597	0.3065	-0.0029	-0.0017	-0.0215	0.0298	2.6754E-4	0.0378	-0	0
stderr of mean	0.2095	0.4697	0.5207	4.9396E-4	0.0144	0.014	0.0143	0.0126	0.0147	0.0144	0.0145	0.0142	7.4704E-3	0.0145	0.014	0.0147	0.0127	0.0143	0.0144	5.0533E-3	8.3328E-3	0.0152	0.0144	0.0132	0.0136	0.0151	0.0157	0.0142	2.4501E-4	5.8826E-4	1.3189E-3	0.0128	2.0065E-3	1.1856E-4	3.9453E-3	2.0832E-3	0.0105	3.1341E-3	2.0738E-3	1.0365E-3	7.9979E-3	3.0092E-4	5.7883E-4	5.0533E-3	6.6753E-3	2.8524E-3	2.6851E-4	1.4258E-3	3.1425E-3	6.5576E-5	4.3427E-3	3.9335E-5	0
stdev	27.7476	27.0249	38.0386	0.0295	1.9973	1.9604	1.9912	1.689	1.9533	1.9951	1.9837	1.9843	0.9349	1.977	1.8913	1.9883	1.7695	1.9769	1.9682	0.0865	0.918	1.9991	1.9853	1.8499	1.8962	2.0015	1.867	1.9764	0.0318	0.0301	0.0291	0.144	0.0704	7.7788E-3	0.041	0.0502	0.1302	0.08	0.065	0.032	0.0897	0.0265	0.022	0.0865	0.1693	0.0288	0.0197	0.0561	0.1083	6.1145E-3	0.1059	4.7598E-3	0
variance	769.9302	730.3454	1446.9363	8.7235E-4	3.989	3.8432	3.965	2.8528	3.8152	3.9804	3.935	3.9374	0.874	3.9084	3.5771	3.9532	3.1311	3.9082	3.8739	7.4875E-3	0.8428	3.9962	3.9416	3.422	3.5954	4.0061	3.4858	3.9061	1.0119E-3	9.0832E-4	8.4575E-4	0.0207	4.9496E-3	6.0509E-5	1.681E-3	2.5196E-3	0.017	6.397E-3	4.2253E-3	1.0218E-3	8.0378E-3	7.0407E-4	4.8237E-4	7.4875E-3	0.0287	8.2845E-4	3.8713E-4	3.1499E-3	0.0117	3.7387E-5	0.0112	2.2655E-5	0
median	-4527.9809	-532.2949	-3994.3366	0.5617	-0.0146	-0.0792	2.8517E-3	-0.2931	-0.1077	0.0243	0.0256	-0.0097	-0.2602	0.0371	-0.1418	-0.0369	0.189	9.1143E-3	-0.034	0.9536	0.384	-0.0449	-0.0074	-0.1369	0.1725	0.0136	0.2411	-0.0006	-0	-0	-0	0	-0	-0	0	0	-0.2424	0	0	-0	-0	0	0	0.9536	0.3647	0	-0	0	-0	-0	-0	0	0
value range	[-4911.6956, -4441.2835]	[-941.9945, -434.741]	[-4152.114, -3847.0168]	[0.4517, 1]	[-7.972, 8.5972]	[-6.8332, 6.795]	[-8.4252, 8.2657]	[-7.3633, 7.4303]	[-8.0009, 7.4785]	[-7.7452, 7.8685]	[-8.0554, 8.3459]	[-8.3503, 9.8388]	[-7.6718, 6.5692]	[-6.8252, 6.9013]	[-7.709, 7.9891]	[-7.0652, 7.4203]	[-9.3321, 7.6656]	[-8.2408, 7.543]	[-7.658, 7.9205]	[0, 1.6881]	[-6.2453, 7.6354]	[-7.6559, 7.534]	[-8.8069, 8.4598]	[-7.7362, 7.6945]	[-7.2494, 8.6583]	[-8.0895, 8.532]	[-9.2036, 7.5241]	[-7.2165, 8.12]	[-0.6066, 0.7137]	[-0.2874, 0.0166]	[-0.9331, 0.3358]	[-0.5528, 0]	[-0.8742, 0.2787]	[-0.2838, 0.1439]	[-0.4722, 0.5467]	[-0.4089, 1.2695]	[-0.6282, 0]	[-0.3213, 1.4289]	[-0.4161, 0.2128]	[-0.7218, 0.1967]	[-0.1992, 0.5667]	[-0.4103, 0.6966]	[-0.4219, 0.2354]	[0, 1.6881]	[-0.116, 0.7927]	[-0.4068, 0.392]	[-0.3969, 0.2445]	[-0.3439, 0]	[-0.3677, 1.0585]	[-0.072, 0.229]	[-0.1199, 0.6249]	[-0.1932, 0.1881]	[0, 0]
geometric mean	n/a	n/a	n/a	0.5621	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
95% HPD interval	[-4579.1282, -4472.6498]	[-585.5782, -480.8115]	[-4069.2821, -3920.1098]	[0.5041, 0.6197]	[-3.8284, 4.0426]	[-3.8359, 3.8894]	[-3.7351, 4.0015]	[-3.5589, 3.6574]	[-3.8229, 3.9443]	[-3.9363, 3.9088]	[-3.9054, 3.8626]	[-3.8697, 3.8693]	[-2.3323, 2.3606]	[-3.8603, 3.9371]	[-3.7278, 3.9453]	[-3.7026, 4.1001]	[-3.7134, 3.6613]	[-3.9706, 3.7806]	[-3.8935, 3.8467]	[0.8186, 1.1063]	[-2.3479, 2.2715]	[-3.9236, 3.9181]	[-3.8595, 3.9247]	[-3.8294, 3.7631]	[-3.9501, 3.6245]	[-4.01, 3.8038]	[-3.7788, 3.818]	[-3.9455, 3.7894]	[-0, 0]	[-0, 0]	[0, 0]	[-0.3816, 0]	[-0.0893, 0]	[-0, 0]	[0, -0]	[-0, -0]	[-0.4056, 0]	[0, 0]	[-0.2084, 0]	[-0, 0]	[-0, 0.2392]	[0, 0]	[0, -0]	[0.8186, 1.1063]	[-0, 0.4952]	[-0, -0]	[0, 0]	[-0.1699, 0]	[0, 0.3264]	[0, 0]	[0, 0.3325]	[-0, 0]	n/a
auto-correlation time (ACT)	1111.4648	5892.2582	3655.0898	5454.9888	1019.8132	1000	1000	1082.1362	1101.1979	1016.7778	1043.2735	1000	1245.2938	1052.0127	1070.4926	1062.0753	1000	1020.2892	1041.8397	66513.837	1606.7925	1127.4592	1029.9741	1000	1000	1116.9362	1374.462	1000	1156.9884	7430.1746	40110.4334	1.5386E5	15864.7	4530.845	1.8058E5	33593.7449	1.2576E5	29947.2271	19851.1717	20504.7815	1.5521E5	2508.2666	13546.5846	66513.837	30304.5552	1.9154E5	3632.1039	12587.3486	16416.4598	2243.2509	32805.2026	1331.9304	n/a
effective sample size (ESS)	17546.2	3309.8	5335.6	3575.1	19123.1	19502	19502	18021.8	17709.8	19180.2	18693.1	19502	15660.6	18537.8	18217.8	18362.2	19502	19114.2	18718.8	293.2	12137.2	17297.3	18934.5	19502	19502	17460.3	14188.8	19502	16855.8	2624.7	486.2	126.8	1229.3	4304.3	108	580.5	155.1	651.2	982.4	951.1	125.7	7775.1	1439.6	293.2	643.5	101.8	5369.3	1549.3	1188	8693.6	594.5	14641.9	n/a
