"virus","tree_id","season","tmrca"
"by",1,"N_Hemisphere_2012",2005.59428028683
"by",1,"N_Hemisphere_2013",2005.59428028683
"by",1,"N_Hemisphere_2011",2005.59428028683
"by",1,"N_Hemisphere_2014",2005.59428028683
"by",1,"N_Hemisphere_2015",2005.59428028683
"by",1,"S_Hemisphere_2012.5",2005.59428028683
"by",1,"S_Hemisphere_2013.5",2005.59428028683
"by",1,"S_Hemisphere_2014.5",2005.59428028683
"by",1,"N_Hemisphere_2016",2011.98767063847
"by",1,"N_Hemisphere_2017",2011.98767063847
"by",1,"S_Hemisphere_2011.5",2005.59428028683
"by",1,"S_Hemisphere_2019.5",2016.67938837315
"by",1,"S_Hemisphere_2015.5",2011.98767063847
"by",1,"S_Hemisphere_2020.5",2016.67938837315
"by",1,"N_Hemisphere_2019",2016.10223120707
"by",1,"S_Hemisphere_2016.5",2005.59428028683
"by",1,"N_Hemisphere_2020",2016.67938837315
"by",1,"S_Hemisphere_2017.5",2014.22376477997
"by",1,"N_Hemisphere_2018",2014.22376477997
"by",1,"S_Hemisphere_2018.5",2014.33430204277
"by",2,"N_Hemisphere_2012",2005.53104349393
"by",2,"N_Hemisphere_2013",2005.53104349393
"by",2,"N_Hemisphere_2011",2005.53104349393
"by",2,"N_Hemisphere_2014",2005.53104349393
"by",2,"N_Hemisphere_2015",2005.53104349393
"by",2,"S_Hemisphere_2012.5",2005.53104349393
"by",2,"S_Hemisphere_2013.5",2005.53104349393
"by",2,"S_Hemisphere_2014.5",2005.53104349393
"by",2,"N_Hemisphere_2016",2011.92097389299
"by",2,"N_Hemisphere_2017",2011.92097389299
"by",2,"S_Hemisphere_2011.5",2005.53104349393
"by",2,"S_Hemisphere_2019.5",2016.61658162056
"by",2,"S_Hemisphere_2015.5",2011.92097389299
"by",2,"S_Hemisphere_2020.5",2016.61658162056
"by",2,"N_Hemisphere_2019",2016.2301950345
"by",2,"S_Hemisphere_2016.5",2005.53104349393
"by",2,"N_Hemisphere_2020",2016.61658162056
"by",2,"S_Hemisphere_2017.5",2014.01499382837
"by",2,"N_Hemisphere_2018",2014.01499382837
"by",2,"S_Hemisphere_2018.5",2014.01499382837
"by",3,"N_Hemisphere_2012",2007.01770589594
"by",3,"N_Hemisphere_2013",2007.01770589594
"by",3,"N_Hemisphere_2011",2007.01770589594
"by",3,"N_Hemisphere_2014",2007.01770589594
"by",3,"N_Hemisphere_2015",2007.01770589594
"by",3,"S_Hemisphere_2012.5",2007.01770589594
"by",3,"S_Hemisphere_2013.5",2007.01770589594
"by",3,"S_Hemisphere_2014.5",2007.01770589594
"by",3,"N_Hemisphere_2016",2011.96263990384
"by",3,"N_Hemisphere_2017",2011.96263990384
"by",3,"S_Hemisphere_2011.5",2007.01770589594
"by",3,"S_Hemisphere_2019.5",2016.52150906037
"by",3,"S_Hemisphere_2015.5",2011.96263990384
"by",3,"S_Hemisphere_2020.5",2016.63083317961
"by",3,"N_Hemisphere_2019",2016.17625533743
"by",3,"S_Hemisphere_2016.5",2007.01770589594
"by",3,"N_Hemisphere_2020",2016.63083317961
"by",3,"S_Hemisphere_2017.5",2014.16074374902
"by",3,"N_Hemisphere_2018",2014.14969002215
"by",3,"S_Hemisphere_2018.5",2014.16074374902
"by",4,"N_Hemisphere_2012",2005.36037920837
"by",4,"N_Hemisphere_2013",2005.36037920837
"by",4,"N_Hemisphere_2011",2005.36037920837
"by",4,"N_Hemisphere_2014",2005.36037920837
"by",4,"N_Hemisphere_2015",2005.36037920837
"by",4,"S_Hemisphere_2012.5",2005.36037920837
"by",4,"S_Hemisphere_2013.5",2005.36037920837
"by",4,"S_Hemisphere_2014.5",2005.36037920837
"by",4,"N_Hemisphere_2016",2011.93361794028
"by",4,"N_Hemisphere_2017",2011.93361794028
"by",4,"S_Hemisphere_2011.5",2005.36037920837
"by",4,"S_Hemisphere_2019.5",2016.59427783904
