,mean,sd,hdi_5%,hdi_95%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
a_z,0.052,0.488,-0.727,0.862,0.008,0.007,4276.0,3864.0,1.0
b_l,-0.055,0.084,-0.194,0.082,0.002,0.002,1409.0,2767.0,1.0
"b_z[Oceania, 2017, pre]",0.499,0.331,-0.049,1.036,0.004,0.003,7552.0,5972.0,1.0
"b_z[Oceania, 2017, pan]",-0.002,0.985,-1.617,1.65,0.008,0.013,16443.0,5440.0,1.0
"b_z[Oceania, 2017, pos]",0.005,1.028,-1.725,1.647,0.007,0.014,19515.0,5620.0,1.0
"b_z[Oceania, 2018, pre]",0.043,0.337,-0.534,0.569,0.004,0.003,6751.0,5824.0,1.0
"b_z[Oceania, 2018, pan]",-0.006,1.004,-1.688,1.592,0.008,0.014,16780.0,5174.0,1.0
"b_z[Oceania, 2018, pos]",0.006,0.993,-1.522,1.731,0.008,0.014,16930.0,5365.0,1.0
"b_z[Oceania, 2019, pre]",0.432,0.409,-0.216,1.123,0.004,0.004,10016.0,6311.0,1.0
"b_z[Oceania, 2019, pan]",-0.003,1.014,-1.614,1.724,0.007,0.014,19598.0,5539.0,1.0
"b_z[Oceania, 2019, pos]",-0.001,1.013,-1.655,1.667,0.007,0.013,18841.0,5956.0,1.0
"b_z[Oceania, 2020, pre]",-0.374,0.663,-1.447,0.727,0.006,0.006,10546.0,6424.0,1.0
"b_z[Oceania, 2020, pan]",-0.081,0.169,-0.367,0.188,0.003,0.002,2593.0,5004.0,1.0
"b_z[Oceania, 2020, pos]",0.002,0.986,-1.572,1.629,0.008,0.013,16877.0,6070.0,1.0
"b_z[Oceania, 2021, pre]",0.006,1.022,-1.644,1.734,0.008,0.014,17876.0,5640.0,1.0
"b_z[Oceania, 2021, pan]",-0.23,0.344,-0.801,0.325,0.004,0.003,6819.0,6079.0,1.0
"b_z[Oceania, 2021, pos]",-0.822,0.546,-1.691,0.105,0.006,0.004,8863.0,6265.0,1.0
"b_z[Oceania, 2022, pre]",0.0,1.022,-1.706,1.641,0.007,0.015,18636.0,5267.0,1.0
"b_z[Oceania, 2022, pan]",-0.005,1.016,-1.646,1.66,0.008,0.013,17394.0,5867.0,1.0
"b_z[Oceania, 2022, pos]",-0.016,0.335,-0.55,0.554,0.004,0.003,6873.0,6165.0,1.0
"b_z[Oceania, 2023, pre]",0.002,1.02,-1.695,1.652,0.008,0.014,18407.0,5658.0,1.0
"b_z[Oceania, 2023, pan]",0.0,1.019,-1.673,1.674,0.007,0.015,19989.0,5422.0,1.0
"b_z[Oceania, 2023, pos]",0.698,0.637,-0.316,1.768,0.005,0.005,15898.0,5973.0,1.0
"b_z[China, 2017, pre]",0.407,0.461,-0.325,1.182,0.005,0.004,8418.0,5879.0,1.0
"b_z[China, 2017, pan]",-0.003,0.983,-1.554,1.638,0.007,0.013,17931.0,5678.0,1.0
"b_z[China, 2017, pos]",0.004,0.993,-1.605,1.66,0.007,0.014,20061.0,5077.0,1.0
"b_z[China, 2018, pre]",0.025,0.455,-0.686,0.802,0.005,0.005,8366.0,6299.0,1.0
"b_z[China, 2018, pan]",0.005,0.989,-1.666,1.607,0.007,0.013,20075.0,5822.0,1.0
"b_z[China, 2018, pos]",0.012,0.999,-1.611,1.651,0.007,0.013,18164.0,6010.0,1.0
"b_z[China, 2019, pre]",0.844,0.401,0.227,1.558,0.004,0.003,9333.0,5767.0,1.0
"b_z[China, 2019, pan]",0.0,0.995,-1.668,1.545,0.007,0.013,18751.0,5410.0,1.0
"b_z[China, 2019, pos]",0.003,0.995,-1.595,1.66,0.007,0.013,19056.0,5414.0,1.0
"b_z[China, 2020, pre]",0.293,0.98,-1.306,1.913,0.007,0.012,18724.0,5831.0,1.0
"b_z[China, 2020, pan]",2.755,0.384,2.133,3.371,0.006,0.004,3687.0,5268.0,1.0
"b_z[China, 2020, pos]",0.007,1.002,-1.704,1.578,0.007,0.013,18995.0,5810.0,1.0
"b_z[China, 2021, pre]",0.011,1.013,-1.679,1.629,0.007,0.013,20309.0,5368.0,1.0
"b_z[China, 2021, pan]",-0.078,0.243,-0.491,0.305,0.004,0.003,4554.0,5529.0,1.0
"b_z[China, 2021, pos]",-1.487,0.598,-2.45,-0.488,0.006,0.005,9721.0,6663.0,1.0
"b_z[China, 2022, pre]",-0.001,0.998,-1.666,1.634,0.007,0.013,18419.0,5642.0,1.0
"b_z[China, 2022, pan]",0.002,0.988,-1.636,1.582,0.008,0.013,17210.0,5568.0,1.0
"b_z[China, 2022, pos]",-0.466,0.166,-0.744,-0.201,0.003,0.002,2626.0,4329.0,1.0
"b_z[China, 2023, pre]",-0.002,1.003,-1.704,1.62,0.008,0.014,16866.0,5401.0,1.0
"b_z[China, 2023, pan]",0.007,1.023,-1.65,1.653,0.007,0.014,19299.0,5626.0,1.0
"b_z[China, 2023, pos]",0.175,0.926,-1.338,1.694,0.007,0.011,17560.0,5772.0,1.0
"b_z[Western Asia, 2017, pre]",0.651,0.311,0.135,1.16,0.004,0.003,5745.0,6012.0,1.0
"b_z[Western Asia, 2017, pan]",0.003,0.978,-1.655,1.551,0.007,0.013,18595.0,5400.0,1.0
"b_z[Western Asia, 2017, pos]",0.011,1.033,-1.796,1.628,0.008,0.015,18230.0,5256.0,1.0
"b_z[Western Asia, 2018, pre]",-0.209,0.338,-0.767,0.341,0.004,0.003,6289.0,6165.0,1.0
"b_z[Western Asia, 2018, pan]",-0.003,0.994,-1.644,1.59,0.007,0.013,19230.0,6054.0,1.0
"b_z[Western Asia, 2018, pos]",0.001,0.999,-1.598,1.622,0.007,0.014,18791.0,5586.0,1.0
"b_z[Western Asia, 2019, pre]",-0.533,0.338,-1.058,0.061,0.004,0.003,6468.0,5904.0,1.0
"b_z[Western Asia, 2019, pan]",0.004,1.009,-1.717,1.585,0.008,0.013,16961.0,5914.0,1.0
"b_z[Western Asia, 2019, pos]",-0.015,1.013,-1.717,1.62,0.007,0.014,20667.0,5893.0,1.0
"b_z[Western Asia, 2020, pre]",-0.306,0.462,-1.034,0.475,0.005,0.004,8449.0,6663.0,1.0
"b_z[Western Asia, 2020, pan]",-0.15,0.197,-0.463,0.18,0.003,0.002,3334.0,5268.0,1.0
