year_month,region,climate,epoch,antigen_drift,inter_air_traffic,intra_air_traffic,total_air_traffic,persistence
2017-01,Oceania,most-tropical,pre,0.199085172,0.891943237,0.893160979,0.922384466,0.07738385
2017-01,South-eastern Asia,most-tropical,pre,0.223425994,0.762806993,0.890849276,0.857043263,0.075758383
2017-01,Europe,most-other,pre,0.170832726,0.585775829,0.60962696,0.607347844,0.108916897
2017-01,Southern Asia,most-tropical,pre,0.171585879,0.899670098,0.693733579,0.765890929,0.066106368
2017-01,Northern America,most-other,pre,0.17674724,0.690085867,0.702275931,0.708548515,0.104147186
2017-01,Japan/Korea,most-other,pre,0.18612732,0.767263111,0.848955419,0.844067971,0.096577747
2017-01,Russia,most-other,pre,0.170625198,0.487339623,0.428870205,0.511530623,0.07850121
2017-01,Western Asia,most-other,pre,0.174022992,0.658840647,0.848670179,0.772127904,0.1005968
2017-01,China,most-other,pre,0.195052455,0.759902057,0.713152458,0.746109304,0.138187077
2017-01,Southern America,most-tropical,pre,0.142319674,0.853818287,0.87305146,0.872210661,0.088761071
2017-01,Africa,most-tropical,pre,0.179696004,0.680488218,0.815179045,0.75820332,0.438835899
2017-02,Oceania,most-tropical,pre,0.199085172,0.759765082,0.844817984,0.853261625,0.087657492
2017-02,South-eastern Asia,most-tropical,pre,0.223425994,0.692133469,0.810886322,0.779516375,0.09844415
2017-02,Europe,most-other,pre,0.170832726,0.52711693,0.578842902,0.570775082,0.10956851
2017-02,Southern Asia,most-tropical,pre,0.171585879,0.802950022,0.638802853,0.698422386,0.104963052
2017-02,Northern America,most-other,pre,0.17674724,0.587891637,0.668001627,0.666599084,0.107929057
2017-02,Japan/Korea,most-other,pre,0.18612732,0.709568363,0.767347677,0.768826711,0.151552957
2017-02,Russia,most-other,pre,0.170625198,0.419077966,0.40345024,0.469421719,0.07128494
2017-02,Western Asia,most-other,pre,0.174022992,0.596838515,0.763476729,0.696805516,0.120617326
2017-02,China,most-other,pre,0.195052455,0.718995332,0.66465332,0.696975917,0.190417647
2017-02,Southern America,most-tropical,pre,0.142319674,0.71731703,0.722243386,0.722619189,0.067745787
2017-02,Africa,most-tropical,pre,0.179696004,0.602750597,0.752479323,0.686868867,0.389280014
2017-03,Oceania,most-tropical,pre,0.199085172,0.779743823,0.973092789,0.96099337,0.115761662
2017-03,South-eastern Asia,most-tropical,pre,0.223425994,0.750326358,0.891804757,0.85435143,0.143568052
2017-03,Europe,most-other,pre,0.170832726,0.628170413,0.692613014,0.682441769,0.135327019
2017-03,Southern Asia,most-tropical,pre,0.171585879,0.936203667,0.720787133,0.796146472,0.147900246
2017-03,Northern America,most-other,pre,0.17674724,0.70248298,0.786241329,0.785723228,0.131798691
2017-03,Japan/Korea,most-other,pre,0.18612732,0.776554046,0.864708241,0.857914108,0.177521124
2017-03,Russia,most-other,pre,0.170625198,0.482023749,0.437712943,0.517477562,0.082850916
2017-03,Western Asia,most-other,pre,0.174022992,0.681499418,0.849316799,0.78443604,0.139595481
2017-03,China,most-other,pre,0.195052455,0.748906348,0.72223345,0.752525887,0.211945805
