"Isolate_Id","Subtype","Submitting_Lab","Originating_Lab"
"EPI_ISL_301362","A/H1N1pdm09","Crick Worldwide Influenza Centre","Institut Pasteur de Dakar"
"EPI_ISL_313595","A/H1N1pdm09","Centers for Disease Control and Prevention","INRB Service de Virologie"
"EPI_ISL_305252","A/H1N1pdm09","Centers for Disease Control and Prevention","INRB Service de Virologie"
"EPI_ISL_498884","A/H1N1pdm09","Uganda Virus Research Institute","Uganda Virus Research Institute (UVRI), National Influenza Center"
"EPI_ISL_311865","A/H1N1pdm09","Crick Worldwide Influenza Centre","Institut Pasteur de Madagascar"
"EPI_ISL_498883","A/H1N1pdm09","Uganda Virus Research Institute","Uganda Virus Research Institute (UVRI), National Influenza Center"
"EPI_ISL_305262","A/H1N1pdm09","Centers for Disease Control and Prevention","INRB Service de Virologie"
"EPI_ISL_300903","A/H1N1pdm09","Centers for Disease Control and Prevention","Pasteur Institut of Côte d'Ivoire"
"EPI_ISL_313594","A/H1N1pdm09","Centers for Disease Control and Prevention","INRB Service de Virologie"
"EPI_ISL_498858","A/H1N1pdm09","Uganda Virus Research Institute","Uganda Virus Research Institute (UVRI), National Influenza Center"
"EPI_ISL_305270","A/H1N1pdm09","Centers for Disease Control and Prevention","INRB Service de Virologie"
"EPI_ISL_300480","A/H1N1pdm09","Crick Worldwide Influenza Centre","Institut Pasteur de Madagascar"
"EPI_ISL_300469","A/H1N1pdm09","Crick Worldwide Influenza Centre","Institut Pasteur de Dakar"
"EPI_ISL_300849","A/H1N1pdm09","Centers for Disease Control and Prevention","Pasteur Institut of Côte d'Ivoire"
"EPI_ISL_301313","A/H1N1pdm09","Crick Worldwide Influenza Centre","Institut Pasteur de Dakar"
"EPI_ISL_300857","A/H1N1pdm09","Centers for Disease Control and Prevention","Pasteur Institut of Côte d'Ivoire"
"EPI_ISL_498878","A/H1N1pdm09","Uganda Virus Research Institute","Uganda Virus Research Institute (UVRI), National Influenza Center"
"EPI_ISL_498904","A/H1N1pdm09","Uganda Virus Research Institute","Uganda Virus Research Institute (UVRI), National Influenza Center"
"EPI_ISL_305277","A/H1N1pdm09","Centers for Disease Control and Prevention","INRB Service de Virologie"
"EPI_ISL_300861","A/H1N1pdm09","Centers for Disease Control and Prevention","Pasteur Institut of Côte d'Ivoire"
"EPI_ISL_305256","A/H1N1pdm09","Centers for Disease Control and Prevention","INRB Service de Virologie"
"EPI_ISL_311902","A/H1N1pdm09","Crick Worldwide Influenza Centre","Institut Pasteur de Madagascar"
"EPI_ISL_311908","A/H1N1pdm09","Crick Worldwide Influenza Centre","Institut Pasteur de Madagascar"
"EPI_ISL_498876","A/H1N1pdm09","Uganda Virus Research Institute","Uganda Virus Research Institute (UVRI), National Influenza Center"
"EPI_ISL_498877","A/H1N1pdm09","Uganda Virus Research Institute","Uganda Virus Research Institute (UVRI), National Influenza Center"
"EPI_ISL_305273","A/H1N1pdm09","Centers for Disease Control and Prevention","INRB Service de Virologie"
"EPI_ISL_298516","A/H1N1pdm09","Centers for Disease Control and Prevention","National Influenza Lab"
"EPI_ISL_300463","A/H1N1pdm09","Crick Worldwide Influenza Centre","Institut Pasteur de Madagascar"
