seqName,region_final,clade,source
EPI_ISL_103118|Yamagata|HA|Africa|2011-09-27,Africa,Y1,GISAID
EPI_ISL_246793|Yamagata|HA|Africa|2011-08-26,Africa,Y1,GISAID
EPI_ISL_106902|Yamagata|HA|Africa|2011-09-06,Africa,Y1,GISAID
EPI_ISL_246771|Yamagata|HA|Africa|2011-09-27,Africa,Y1,GISAID
EPI_ISL_103131|Yamagata|HA|Africa|2011-11-24,Africa,Y1,GISAID
EPI_ISL_103130|Yamagata|HA|Africa|2011-10-25,Africa,Y1,GISAID
EPI_ISL_103132|Yamagata|HA|Africa|2011-11-24,Africa,Y1,GISAID
EPI_ISL_103126|Yamagata|HA|Africa|2011-10-17,Africa,Y1,GISAID
EPI_ISL_132261|Yamagata|HA|Africa|2012-06-07,Africa,Y2,GISAID
EPI_ISL_138488|Yamagata|HA|Africa|2012-10-23,Africa,Y1,GISAID
EPI_ISL_138506|Yamagata|HA|Africa|2012-11-06,Africa,Y1,GISAID
EPI_ISL_140379|Yamagata|HA|Africa|2012-09-26,Africa,Y1,GISAID
EPI_ISL_137198|Yamagata|HA|Africa|2012-11-23,Africa,Y3,GISAID
EPI_ISL_132260|Yamagata|HA|Africa|2012-05-23,Africa,Y2,GISAID
EPI_ISL_138500|Yamagata|HA|Africa|2012-12-05,Africa,Y2,GISAID
EPI_ISL_132269|Yamagata|HA|Africa|2012-06-25,Africa,Y1,GISAID
EPI_ISL_140377|Yamagata|HA|Africa|2012-07-03,Africa,Y1,GISAID
EPI_ISL_138502|Yamagata|HA|Africa|2012-12-17,Africa,Y2,GISAID
EPI_ISL_138489|Yamagata|HA|Africa|2012-10-23,Africa,Y1,GISAID
EPI_ISL_132263|Yamagata|HA|Africa|2012-06-22,Africa,Y3,GISAID
EPI_ISL_117382|Yamagata|HA|Africa|2012-03-14,Africa,Y2,GISAID
EPI_ISL_140378|Yamagata|HA|Africa|2012-11-14,Africa,Y1,GISAID
EPI_ISL_145618|Yamagata|HA|Africa|2013-06-03,Africa,Y2,GISAID
EPI_ISL_155574|Yamagata|HA|Africa|2013-09-02,Africa,Y2,GISAID
EPI_ISL_159714|Yamagata|HA|Africa|2013-08-15,Africa,Y2,GISAID
EPI_ISL_159703|Yamagata|HA|Africa|2013-11-09,Africa,Y2,GISAID
EPI_ISL_162177|Yamagata|HA|Africa|2013-09-26,Africa,Y2,GISAID
EPI_ISL_145601|Yamagata|HA|Africa|2013-03-20,Africa,Y1,GISAID
EPI_ISL_159706|Yamagata|HA|Africa|2013-12-11,Africa,Y2,GISAID
EPI_ISL_158879|Yamagata|HA|Africa|2013-09-03,Africa,Y2,GISAID
EPI_ISL_141514|Yamagata|HA|Africa|2013-02-19,Africa,Y3,GISAID
EPI_ISL_158880|Yamagata|HA|Africa|2013-09-02,Africa,Y2,GISAID
EPI_ISL_145619|Yamagata|HA|Africa|2013-06-14,Africa,Y2,GISAID
EPI_ISL_159717|Yamagata|HA|Africa|2013-09-14,Africa,Y2,GISAID
EPI_ISL_145576|Yamagata|HA|Africa|2013-04-03,Africa,Y1,GISAID
EPI_ISL_17996236|Yamagata|HA|Africa|2013-04-23,Africa,Y2,GISAID
EPI_ISL_140360|Yamagata|HA|Africa|2013-01-09,Africa,Y2,GISAID
EPI_ISL_17996237|Yamagata|HA|Africa|2013-04-01,Africa,Y2,GISAID
EPI_ISL_158866|Yamagata|HA|Africa|2013-12-13,Africa,Y2,GISAID
EPI_ISL_159715|Yamagata|HA|Africa|2013-08-19,Africa,Y2,GISAID
EPI_ISL_159704|Yamagata|HA|Africa|2013-11-19,Africa,Y2,GISAID
EPI_ISL_148701|Yamagata|HA|Africa|2013-04-22,Africa,Y2,GISAID
EPI_ISL_145598|Yamagata|HA|Africa|2013-04-22,Africa,Y2,GISAID
EPI_ISL_171961|Yamagata|HA|Africa|2014-10-22,Africa,Y3,GISAID
EPI_ISL_175139|Yamagata|HA|Africa|2014-11-27,Africa,Y3,GISAID
EPI_ISL_175103|Yamagata|HA|Africa|2014-09-10,Africa,Y3,GISAID
EPI_ISL_166759|Yamagata|HA|Africa|2014-02-19,Africa,Y2,GISAID
EPI_ISL_213328|Yamagata|HA|Africa|2014-06-17,Africa,Y3,GISAID
EPI_ISL_175151|Yamagata|HA|Africa|2014-09-22,Africa,Y3,GISAID
EPI_ISL_206937|Yamagata|HA|Africa|2014-12-20,Africa,Y3,GISAID
EPI_ISL_175138|Yamagata|HA|Africa|2014-07-23,Africa,Y2,GISAID
EPI_ISL_175133|Yamagata|HA|Africa|2014-08-25,Africa,Y3,GISAID
EPI_ISL_168823|Yamagata|HA|Africa|2014-06-14,Africa,Y3,GISAID
EPI_ISL_175134|Yamagata|HA|Africa|2014-08-28,Africa,Y2,GISAID
EPI_ISL_172213|Yamagata|HA|Africa|2014-10-23,Africa,Y3,GISAID
EPI_ISL_165494|Yamagata|HA|Africa|2014-01-10,Africa,Y3,GISAID
EPI_ISL_171962|Yamagata|HA|Africa|2014-10-24,Africa,Y3,GISAID
EPI_ISL_165492|Yamagata|HA|Africa|2014-06-06,Africa,Y3,GISAID
MG674734|BY|HA|Africa|2014-01-29,Africa,Y2,GenBank
EPI_ISL_171974|Yamagata|HA|Africa|2014-11-15,Africa,Y3,GISAID
