seqName,region_final,clade,source
EPI_ISL_135829|pdm09|HA|Africa|2012-12-18,Africa,6C,GISAID
EPI_ISL_138671|pdm09|HA|Africa|2012-12-05,Africa,6C,GISAID
EPI_ISL_135827|pdm09|HA|Africa|2012-12-10,Africa,6C,GISAID
EPI_ISL_136466|pdm09|HA|Africa|2012-11-28,Africa,6C,GISAID
EPI_ISL_138668|pdm09|HA|Africa|2012-11-30,Africa,6C,GISAID
EPI_ISL_138725|pdm09|HA|Africa|2012-11-28,Africa,6C,GISAID
EPI_ISL_137434|pdm09|HA|Africa|2012-12-19,Africa,6C,GISAID
EPI_ISL_135824|pdm09|HA|Africa|2012-11-19,Africa,6C,GISAID
EPI_ISL_143612|pdm09|HA|Africa|2012-10-30,Africa,6C,GISAID
EPI_ISL_135810|pdm09|HA|Africa|2012-12-18,Africa,6C,GISAID
EPI_ISL_138665|pdm09|HA|Africa|2012-11-27,Africa,6C,GISAID
EPI_ISL_135826|pdm09|HA|Africa|2012-11-20,Africa,6C,GISAID
EPI_ISL_136324|pdm09|HA|Africa|2012-10-30,Africa,6,GISAID
EPI_ISL_150590|pdm09|HA|Africa|2013-03-20,Africa,6C,GISAID
KF451899|pdm09|HA|Africa|2013-02-11,Africa,6C,GenBank
EPI_ISL_158714|pdm09|HA|Africa|2013-02-20,Africa,6B,GISAID
KY451421|pdm09|HA|Africa|2013-05-28,Africa,6C,GenBank
EPI_ISL_145451|pdm09|HA|Africa|2013-02-19,Africa,6C,GISAID
KC862104|pdm09|HA|Africa|2013-02-22,Africa,6C,GenBank
KC862103|pdm09|HA|Africa|2013-02-22,Africa,6C,GenBank
EPI_ISL_151489|pdm09|HA|Africa|2013-04-24,Africa,6C,GISAID
EPI_ISL_159045|pdm09|HA|Africa|2013-12-16,Africa,6B,GISAID
EPI_ISL_159661|pdm09|HA|Africa|2013-11-26,Africa,6C,GISAID
EPI_ISL_145418|pdm09|HA|Africa|2013-04-29,Africa,6C,GISAID
KY451429|pdm09|HA|Africa|2013-06-14,Africa,6C,GenBank
EPI_ISL_156883|pdm09|HA|Africa|2013-12-03,Africa,6B,GISAID
