Partition,Site,ES,EN,S,N,P[S],dS,dN,dN-dS,P [dN/dS > 1],P [dN/dS < 1],Total branch length
1,1,0,2.958863810639648,0,0,0,null,0,null,1,1,1.957981943844515
1,2,0.9125351783379227,1.98642288919223,4,3,0.3147803993989407,4.38339265702122,1.510252432310593,-1.465772834018536,0.9645543085533781,0.1460031647881024,1.960153823313589
1,3,0.9861843230802263,1.972711287546126,2,9,0.3332947331898155,2.028018447660215,4.562248949867968,1.291621581221958,0.2341934999172549,0.9248165466982567,1.962053390134753
1,4,0.1788606049826184,2.783057351466657,0,2,0.06038675196697046,0,0.718634130534899,0.3633549637308189,0.8828730558791796,1,1.977774359145066
1,5,0.9267764686880765,2.035224375377878,0,1,0.3128886578627322,0,0.4913463164543374,0.2478932303344881,0.6871113421372678,1,1.98208848136495
1,6,0.984383147646697,1.97772330548775,0,6,0.3323253783148276,0,3.033791422364955,1.526349500960684,0.08859092046909187,1,1.987612549062641
1,7,1.828486407462957,1.13365416126865,0,0,0.6172854950789582,0,0,0,1,1,1.989403611072149
1,8,1.008791740935204,1.963570555976356,7,0,0.3393905722675165,6.938994160985718,0,-3.477740909657258,1,0.0005186787063092835,1.995259089519
1,9,0.0004075883077203391,2.979293184752682,0,1,0.0001367883350587958,0,0.3356500814078197,0.1680746583016277,0.9998632116649412,1,1.997029681925399
1,10,0.9926069000922452,1.987099913704806,0,4,0.3331223379079241,0,2.012983832575527,1.00768897821993,0.1977810515924373,1,1.997624144040394
1,11,0.9932415411057449,1.98648308221149,2,3,0.3333333333333333,2.013608892931988,1.51020666969899,-0.2517793116816615,0.7901234567901239,0.5390946502057611,1.999378820565989
1,12,0.9672870828856258,2.012465078073161,1.5,1.5,0.3246199786543268,1.550728864821783,0.7453545486792635,-0.4022651752490947,0.8590367274312094,0.4698260447379774,2.002098033079316
1,13,0.9931539670661554,1.986635324531636,1,2,0.3332967098937445,1.006893224173557,1.006727291769824,-0.00008272727554323577,0.7407895706521512,0.7036548697683169,2.005776240583904
1,14,0.8625700611384054,2.11714630414263,2,9,0.2894805932500395,2.318652234880995,4.251005224527781,0.9631108855402286,0.3404246121313205,0.8722840118246913,2.006366056762913
1,15,0.9959542284241878,1.991908456848376,3,0,0.3333333333333333,3.012186619004209,0,-1.503878093326354,1,0.03703703703703698,2.0029460049795
1,16,0.8633022308163439,2.136697769183661,7,0,0.2877674102721141,8.108400221994975,0,-3.896796816541901,0.9999999999999997,0.0001634147519364859,2.080785990066205
1,17,1.129280788660576,1.037524735573669,3,1,0.5211731168442848,2.656558076719129,0.9638324424593884,-0.8115333666842534,0.9262218054351326,0.3449125398070552,2.085836151353634
1,18,0.9852929181240343,2.014707081875971,2,1,0.3284309727080109,2.029853217465457,0.496350069444766,-0.7340064543032788,0.9645731678508209,0.2527470472034321,2.089222974852853
