seqName,region_final,clade,source
JQ396203|BV|HA|Africa|2011-01-20,Africa,V1A,GenBank
EPI_ISL_93519|Victoria|HA|Africa|2011-02-04,Africa,V1A,GISAID
EPI_ISL_246595|Victoria|HA|Africa|2011-02-20,Africa,V1A,GISAID
JQ396205|BV|HA|Africa|2011-02-08,Africa,V1A,GenBank
EPI_ISL_246584|Victoria|HA|Africa|2011-03-21,Africa,V1A,GISAID
EPI_ISL_93518|Victoria|HA|Africa|2011-02-01,Africa,V1A,GISAID
EPI_ISL_106903|Victoria|HA|Africa|2011-09-07,Africa,V1A,GISAID
EPI_ISL_115054|Victoria|HA|Africa|2011-04-11,Africa,V1A,GISAID
EPI_ISL_246510|Victoria|HA|Africa|2011-05-31,Africa,V1A,GISAID
EPI_ISL_246551|Victoria|HA|Africa|2011-04-01,Africa,V1A,GISAID
JQ396208|BV|HA|Africa|2011-02-04,Africa,V1A,GenBank
EPI_ISL_17996228|Victoria|HA|Africa|2011-11-27,Africa,V1A,GISAID
EPI_ISL_246585|Victoria|HA|Africa|2011-01-28,Africa,V1A,GISAID
JQ396201|BV|HA|Africa|2011-04-12,Africa,V1A,GenBank
EPI_ISL_99980|Victoria|HA|Africa|2011-07-21,Africa,V1A,GISAID
EPI_ISL_246865|Victoria|HA|Africa|2012-04-25,Africa,V1A,GISAID
EPI_ISL_124956|Victoria|HA|Africa|2012-04-02,Africa,V1A,GISAID
EPI_ISL_246843|Victoria|HA|Africa|2012-03-07,Africa,V1A,GISAID
EPI_ISL_246890|Victoria|HA|Africa|2012-07-31,Africa,V1A,GISAID
EPI_ISL_246842|Victoria|HA|Africa|2012-03-07,Africa,V1A,GISAID
EPI_ISL_133083|Victoria|HA|Africa|2012-06-25,Africa,V1A,GISAID
EPI_ISL_246889|Victoria|HA|Africa|2012-06-29,Africa,V1A,GISAID
EPI_ISL_246846|Victoria|HA|Africa|2012-05-02,Africa,V1A,GISAID
EPI_ISL_246870|Victoria|HA|Africa|2012-04-19,Africa,V1A,GISAID
EPI_ISL_128354|Victoria|HA|Africa|2012-04-13,Africa,V1A,GISAID
EPI_ISL_246847|Victoria|HA|Africa|2012-05-03,Africa,V1A,GISAID
EPI_ISL_132490|Victoria|HA|Africa|2012-08-28,Africa,V1A,GISAID
EPI_ISL_246864|Victoria|HA|Africa|2012-04-15,Africa,V1A,GISAID
EPI_ISL_124963|Victoria|HA|Africa|2012-05-02,Africa,V1A,GISAID
EPI_ISL_246879|Victoria|HA|Africa|2012-08-03,Africa,V1A,GISAID
EPI_ISL_153200|Victoria|HA|Africa|2013-11-21,Africa,V1A,GISAID
EPI_ISL_164272|Victoria|HA|Africa|2013-10-04,Africa,V1A,GISAID
EPI_ISL_17996238|Victoria|HA|Africa|2013-01-03,Africa,V1A,GISAID
EPI_ISL_164274|Victoria|HA|Africa|2013-10-18,Africa,V1A,GISAID
EPI_ISL_158874|Victoria|HA|Africa|2013-12-03,Africa,V1A,GISAID
EPI_ISL_159708|Victoria|HA|Africa|2013-09-26,Africa,V1A,GISAID
EPI_ISL_157037|Victoria|HA|Africa|2013-11-04,Africa,V1A,GISAID
EPI_ISL_158873|Victoria|HA|Africa|2013-11-22,Africa,V1A,GISAID
EPI_ISL_157847|Victoria|HA|Africa|2013-12-17,Africa,V1A,GISAID
EPI_ISL_157036|Victoria|HA|Africa|2013-10-30,Africa,V1A,GISAID
EPI_ISL_155576|Victoria|HA|Africa|2013-11-05,Africa,V1A,GISAID
EPI_ISL_159711|Victoria|HA|Africa|2013-11-29,Africa,V1A,GISAID
EPI_ISL_155580|Victoria|HA|Africa|2013-11-21,Africa,V1A,GISAID
EPI_ISL_155578|Victoria|HA|Africa|2013-11-28,Africa,V1A,GISAID
EPI_ISL_157022|Victoria|HA|Africa|2013-10-23,Africa,V1A,GISAID
EPI_ISL_175107|Victoria|HA|Africa|2014-09-10,Africa,V1A,GISAID
EPI_ISL_166754|Victoria|HA|Africa|2014-03-31,Africa,V1A,GISAID
EPI_ISL_175106|Victoria|HA|Africa|2014-06-16,Africa,V1A,GISAID
EPI_ISL_175149|Victoria|HA|Africa|2014-09-17,Africa,V1A,GISAID
MG674736|BV|HA|Africa|2014-06-20,Africa,V1A,GenBank
EPI_ISL_165862|Victoria|HA|Africa|2014-06-25,Africa,V1A,GISAID
EPI_ISL_175089|Victoria|HA|Africa|2014-07-24,Africa,V1A,GISAID
EPI_ISL_165870|Victoria|HA|Africa|2014-06-16,Africa,V1A,GISAID
EPI_ISL_175092|Victoria|HA|Africa|2014-08-18,Africa,V1A,GISAID
EPI_ISL_164885|Victoria|HA|Africa|2014-03-06,Africa,V1A,GISAID
EPI_ISL_165493|Victoria|HA|Africa|2014-02-27,Africa,V1A,GISAID
EPI_ISL_165869|Victoria|HA|Africa|2014-06-03,Africa,V1A,GISAID
EPI_ISL_158956|Victoria|HA|Africa|2014-01-03,Africa,V1A,GISAID
EPI_ISL_171958|Victoria|HA|Africa|2014-11-10,Africa,V1A,GISAID
EPI_ISL_166947|Victoria|HA|Africa|2014-04-08,Africa,V1A,GISAID
EPI_ISL_191885|Victoria|HA|Africa|2015-01-29,Africa,V1A,GISAID
KY210886|BV|HA|Africa|2016-01-03,Africa,V1A,GenBank
MG674747|BV|HA|Africa|2015-11-16,Africa,V1A,GenBank
EPI_ISL_175105|Victoria|HA|Africa|2014-12-29,Africa,V1A,GISAID
EPI_ISL_191886|Victoria|HA|Africa|2015-02-26,Africa,V1A,GISAID
EPI_ISL_193100|Victoria|HA|Africa|2015-04-18,Africa,V1A,GISAID
EPI_ISL_207248|Victoria|HA|Africa|2015-09-22,Africa,V1A,GISAID
EPI_ISL_336390|Victoria|HA|Africa|2016-06-18,Africa,V1A,GISAID
EPI_ISL_235492|Victoria|HA|Africa|2016-06-27,Africa,V1A,GISAID
EPI_ISL_229302|Victoria|HA|Africa|2016-04-21,Africa,V1A,GISAID
EPI_ISL_232919|Victoria|HA|Africa|2016-07-05,Africa,V1A,GISAID
EPI_ISL_235495|Victoria|HA|Africa|2016-06-06,Africa,V1A,GISAID
EPI_ISL_336307|Victoria|HA|Africa|2016-03-11,Africa,V1A,GISAID
EPI_ISL_336313|Victoria|HA|Africa|2016-04-26,Africa,V1A,GISAID
EPI_ISL_389730|Victoria|HA|Africa|2016-12-14,Africa,V1A,GISAID
EPI_ISL_266970|Victoria|HA|Africa|2016-09-28,Africa,V1A,GISAID
EPI_ISL_255222|Victoria|HA|Africa|2016-12-13,Africa,V1A,GISAID
EPI_ISL_235503|Victoria|HA|Africa|2016-06-06,Africa,V1A,GISAID
EPI_ISL_266966|Victoria|HA|Africa|2016-12-01,Africa,V1A,GISAID
EPI_ISL_255224|Victoria|HA|Africa|2016-12-13,Africa,V1A,GISAID
KY210890|BV|HA|Africa|2016-03-03,Africa,V1A,GenBank
EPI_ISL_336289|Victoria|HA|Africa|2016-01-28,Africa,V1A,GISAID
EPI_ISL_269526|Victoria|HA|Africa|2017-02-27,Africa,V1A,GISAID
EPI_ISL_287071|Victoria|HA|Africa|2017-01-17,Africa,V1A,GISAID
MG674761|BV|HA|Africa|2017-02-27,Africa,V1A,GenBank
EPI_ISL_275471|Victoria|HA|Africa|2017-04-15,Africa,V1A,GISAID
EPI_ISL_281675|Victoria|HA|Africa|2017-05-03,Africa,V1A,GISAID
EPI_ISL_275470|Victoria|HA|Africa|2017-03-22,Africa,V1A,GISAID
EPI_ISL_274407|Victoria|HA|Africa|2017-04-24,Africa,V1A,GISAID
EPI_ISL_300280|Victoria|HA|Africa|2017-10-23,Africa,V1A,GISAID
EPI_ISL_277261|Victoria|HA|Africa|2017-02-18,Africa,V1A,GISAID
EPI_ISL_287074|Victoria|HA|Africa|2017-01-24,Africa,V1A,GISAID
EPI_ISL_305191|Victoria|HA|Africa|2017-09-29,Africa,V1A,GISAID
EPI_ISL_281674|Victoria|HA|Africa|2017-03-08,Africa,V1A,GISAID
EPI_ISL_17996211|Victoria|HA|Africa|2017-11-27,Africa,V1A.3,GISAID
EPI_ISL_300578|Victoria|HA|Africa|2017-06-16,Africa,V1A,GISAID
EPI_ISL_282235|Victoria|HA|Africa|2017-07-04,Africa,V1A,GISAID
EPI_ISL_321812|Victoria|HA|Africa|2018-07-03,Africa,V1A.1,GISAID
EPI_ISL_353606|Victoria|HA|Africa|2018-11-08,Africa,V1A.3,GISAID
EPI_ISL_348512|Victoria|HA|Africa|2018-10-10,Africa,V1A.3,GISAID
EPI_ISL_341138|Victoria|HA|Africa|2018-10-23,Africa,V1A.3,GISAID
EPI_ISL_309660|Victoria|HA|Africa|2018-02-20,Africa,V1A,GISAID
EPI_ISL_347865|Victoria|HA|Africa|2018-11-13,Africa,V1A.1,GISAID
EPI_ISL_350040|Victoria|HA|Africa|2018-10-30,Africa,V1A.1,GISAID
EPI_ISL_332887|Victoria|HA|Africa|2018-10-01,Africa,V1A.3,GISAID
EPI_ISL_330144|Victoria|HA|Africa|2018-07-16,Africa,V1A.3,GISAID
EPI_ISL_331029|Victoria|HA|Africa|2018-08-22,Africa,V1A.1,GISAID
EPI_ISL_347869|Victoria|HA|Africa|2018-11-07,Africa,V1A.1,GISAID
EPI_ISL_311570|Victoria|HA|Africa|2018-02-08,Africa,V1A,GISAID
EPI_ISL_341142|Victoria|HA|Africa|2018-10-23,Africa,V1A.3a,GISAID
EPI_ISL_350036|Victoria|HA|Africa|2018-10-29,Africa,V1A.1,GISAID
EPI_ISL_341148|Victoria|HA|Africa|2018-11-13,Africa,V1A.3,GISAID
EPI_ISL_416062|Victoria|HA|Africa|2019-10-03,Africa,V1A.3,GISAID
EPI_ISL_363146|Victoria|HA|Africa|2019-01-16,Africa,V1A.3,GISAID
EPI_ISL_364205|Victoria|HA|Africa|2019-03-25,Africa,V1A.1,GISAID
MN086315|BV|HA|Africa|2019-04-16,Africa,V1A.3,GenBank
EPI_ISL_406046|Victoria|HA|Africa|2019-11-21,Africa,V1A.3,GISAID
EPI_ISL_389974|Victoria|HA|Africa|2019-05-18,Africa,V1A.3,GISAID
EPI_ISL_416004|Victoria|HA|Africa|2019-10-29,Africa,V1A.3,GISAID
EPI_ISL_416072|Victoria|HA|Africa|2019-10-28,Africa,V1A.3,GISAID
EPI_ISL_387002|Victoria|HA|Africa|2019-06-06,Africa,V1A.1,GISAID
EPI_ISL_364211|Victoria|HA|Africa|2019-03-07,Africa,V1A.1,GISAID
EPI_ISL_443162|Victoria|HA|Africa|2019-09-16,Africa,V1A.3,GISAID
EPI_ISL_389969|Victoria|HA|Africa|2019-05-09,Africa,V1A.3,GISAID
EPI_ISL_416073|Victoria|HA|Africa|2019-11-05,Africa,V1A.3,GISAID
EPI_ISL_416068|Victoria|HA|Africa|2019-10-16,Africa,V1A.3,GISAID
EPI_ISL_491894|Victoria|HA|Africa|2019-10-10,Africa,V1A.3,GISAID
EPI_ISL_1519487|Victoria|HA|Africa|2020-01-28,Africa,V1A.3a.1,GISAID
EPI_ISL_594244|Victoria|HA|Africa|2020-01-14,Africa,V1A.3,GISAID
EPI_ISL_491886|Victoria|HA|Africa|2019-12-30,Africa,V1A.3,GISAID
EPI_ISL_510000|Victoria|HA|Africa|2020-03-04,Africa,V1A.3,GISAID
EPI_ISL_983351|Victoria|HA|Africa|2020-11-04,Africa,V1A.3a.2,GISAID
EPI_ISL_959674|Victoria|HA|Africa|2020-11-03,Africa,V1A.3a.2,GISAID
EPI_ISL_1034775|Victoria|HA|Africa|2020-01-09,Africa,V1A.3,GISAID
EPI_ISL_1034792|Victoria|HA|Africa|2020-10-20,Africa,V1A.3a.2,GISAID
EPI_ISL_1392900|Victoria|HA|Africa|2020-01-13,Africa,V1A.3,GISAID
EPI_ISL_959687|Victoria|HA|Africa|2020-01-23,Africa,V1A.3,GISAID
EPI_ISL_983348|Victoria|HA|Africa|2020-11-18,Africa,V1A.3a.2,GISAID
EPI_ISL_1392897|Victoria|HA|Africa|2020-02-29,Africa,V1A.3,GISAID
EPI_ISL_1392898|Victoria|HA|Africa|2020-01-16,Africa,V1A.3a,GISAID
EPI_ISL_493193|Victoria|HA|Africa|2020-02-05,Africa,V1A.3,GISAID
EPI_ISL_1180164|Victoria|HA|Africa|2020-01-16,Africa,V1A.1,GISAID
EPI_ISL_12241659|Victoria|HA|Africa|2021-12-15,Africa,V1A.3,GISAID
EPI_ISL_6307048|Victoria|HA|Africa|2021-05-31,Africa,V1A.3a.2,GISAID
EPI_ISL_17996223|Victoria|HA|Africa|2021-11-23,Africa,V1A.3a.2,GISAID
EPI_ISL_17236338|Victoria|HA|Africa|2021-09-21,Africa,V1A.3,GISAID
EPI_ISL_7261791|Victoria|HA|Africa|2021-09-21,Africa,V1A.3,GISAID
EPI_ISL_11497362|Victoria|HA|Africa|2021-11-18,Africa,V1A.3a.2,GISAID
EPI_ISL_17996171|Victoria|HA|Africa|2021-08-30,Africa,V1A.3a.2,GISAID
EPI_ISL_10826477|Victoria|HA|Africa|2021-12-15,Africa,V1A.3,GISAID
EPI_ISL_6307055|Victoria|HA|Africa|2021-06-11,Africa,V1A.3a.2,GISAID
EPI_ISL_17996180|Victoria|HA|Africa|2021-11-03,Africa,V1A.3a.2,GISAID
EPI_ISL_17996229|Victoria|HA|Africa|2021-11-13,Africa,V1A.3a.2,GISAID
EPI_ISL_11497358|Victoria|HA|Africa|2021-06-16,Africa,V1A.3a.2,GISAID
EPI_ISL_17996206|Victoria|HA|Africa|2021-10-21,Africa,V1A.3a.2,GISAID
EPI_ISL_6307060|Victoria|HA|Africa|2021-06-22,Africa,V1A.3a.2,GISAID
EPI_ISL_7261786|Victoria|HA|Africa|2021-09-10,Africa,V1A.3a.2,GISAID
EPI_ISL_17212612|Victoria|HA|Africa|2022-11-26,Africa,V1A.3,GISAID
EPI_ISL_15725984|Victoria|HA|Africa|2022-09-15,Africa,V1A.3a.2,GISAID
EPI_ISL_17102625|Victoria|HA|Africa|2022-12-29,Africa,V1A.3a.2,GISAID
EPI_ISL_16761725|Victoria|HA|Africa|2022-11-22,Africa,V1A.3a.2,GISAID
EPI_ISL_17623424|Victoria|HA|Africa|2022-09-08,Africa,V1A.3a.2,GISAID
EPI_ISL_17225703|Victoria|HA|Africa|2022-11-03,Africa,V1A.3a.2,GISAID
EPI_ISL_13957813|Victoria|HA|Africa|2022-03-23,Africa,V1A.3a.2,GISAID
EPI_ISL_15927718|Victoria|HA|Africa|2022-07-05,Africa,V1A.3a.2,GISAID
